Name,ID,Pay Period,Gross Pay,Tax,Net Pay
Ella Martinez,1,NOVEMBER 2024,-0.08,74.98,-75.06
Ethan Taylor,131,NOVEMBER 2024,-0.08,74.98,-75.06
James Martinez,134,NOVEMBER 2024,-0.08,74.98,-75.06
Ethan Rodriguez,135,NOVEMBER 2024,-0.08,74.98,-75.06
Emma Turner,143,NOVEMBER 2024,-0.08,74.98,-75.06
Michael Green,144,NOVEMBER 2024,-0.08,74.98,-75.06
Mason Lee,401,NOVEMBER 2024,-0.08,74.98,-75.06
Ella Walker,402,NOVEMBER 2024,-0.08,74.98,-75.06
Oliver Harris,403,NOVEMBER 2024,-0.08,74.98,-75.06
Amelia Adams,404,NOVEMBER 2024,-0.08,74.98,-75.06
Henry Garcia,405,NOVEMBER 2024,-0.08,74.98,-75.06
Isabella Moore,406,NOVEMBER 2024,-0.08,74.98,-75.06
Ava Brown,407,NOVEMBER 2024,-0.08,74.98,-75.06
Olivia Clark,151,NOVEMBER 2024,-0.08,74.98,-75.06
Noah Walker,152,NOVEMBER 2024,-0.08,74.98,-75.06
Benjamin Hall,282,NOVEMBER 2024,-0.08,74.98,-75.06
Charlotte White,291,NOVEMBER 2024,-0.08,74.98,-75.06
Sophie Martinez,173,NOVEMBER 2024,-0.08,74.98,-75.06
Olivia Harrison,301,NOVEMBER 2024,-0.08,74.98,-75.06
Ethan Turner,302,NOVEMBER 2024,-0.08,74.98,-75.06
Sophia Carter,303,NOVEMBER 2024,-0.08,74.98,-75.06
Michael Green,304,NOVEMBER 2024,-0.08,74.98,-75.06
Noah Sullivan,305,NOVEMBER 2024,-0.08,74.98,-75.06
Isabella Bennett,306,NOVEMBER 2024,-0.08,74.98,-75.06
James Donovan,182,NOVEMBER 2024,-0.08,74.98,-75.06
Olivia Harrison,201,NOVEMBER 2024,-0.08,74.98,-75.06
Liam Murphy,202,NOVEMBER 2024,-0.08,74.98,-75.06
Sophia Miller,203,NOVEMBER 2024,-0.08,74.98,-75.06
Lucas Brown,204,NOVEMBER 2024,-0.08,74.98,-75.06
Olivia Thomas,601,NOVEMBER 2024,-0.08,74.98,-75.06
William Anderson,602,NOVEMBER 2024,-0.08,74.98,-75.06
Isabella Morris,603,NOVEMBER 2024,-0.08,74.98,-75.06
Ethan Lewis,604,NOVEMBER 2024,-0.08,74.98,-75.06
Charlotte Taylor,605,NOVEMBER 2024,-0.08,74.98,-75.06
Mason Hall,606,NOVEMBER 2024,-0.08,74.98,-75.06
Olivia Green,607,NOVEMBER 2024,-0.08,74.98,-75.06
Liam Clark,608,NOVEMBER 2024,-0.08,74.98,-75.06
Sophia Martinez,609,NOVEMBER 2024,-0.08,74.98,-75.06
James Walker,610,NOVEMBER 2024,-0.08,74.98,-75.06
Amelia Brown,611,NOVEMBER 2024,-0.08,74.98,-75.06
Ava Thompson,101,NOVEMBER 2024,-0.08,74.98,-75.06
Liam Johnson,102,NOVEMBER 2024,-0.08,74.98,-75.06
Sophia Clark,103,NOVEMBER 2024,-0.08,74.98,-75.06
Liam Brown,104,NOVEMBER 2024,-0.08,74.98,-75.06
Isabella Parker,106,NOVEMBER 2024,-0.08,74.98,-75.06
Liam Harris,362,NOVEMBER 2024,-0.08,74.98,-75.06
Noah Sullivan,107,NOVEMBER 2024,-0.08,74.98,-75.06
Mia Bennett,108,NOVEMBER 2024,-0.08,74.98,-75.06
Emily Carter,109,NOVEMBER 2024,-0.08,74.98,-75.06
Isabella Davis,622,NOVEMBER 2024,-0.08,74.98,-75.06
Alexander Moore,113,NOVEMBER 2024,-0.08,74.98,-75.06
Sophia Miller,371,NOVEMBER 2024,-0.08,74.98,-75.06
Lucas Anderson,116,NOVEMBER 2024,-0.08,74.98,-75.06
Liam Johnson,501,NOVEMBER 2024,-0.08,74.98,-75.06
Sophia Martinez,502,NOVEMBER 2024,-0.08,74.98,-75.06
Noah Clark,503,NOVEMBER 2024,-0.08,74.98,-75.06
Emily Davis,504,NOVEMBER 2024,-0.08,74.98,-75.06
James Wilson,505,NOVEMBER 2024,-0.08,74.98,-75.06
Ava Thompson,125,NOVEMBER 2024,-0.08,74.98,-75.06
