Name,Id,Title,Tier,Password,Category
Emily Carter,00109,Full Professor,3,password123,Academic
James Donovan,00182,Associate Professor A,6,password123,Academic
Sophie Martinez,00173,Teaching Assistant,2,password123,Academic
Michael Green,00144,Assistant Professor,9,password123,Academic
Olivia Harrison,00201,Senior Administrative Officer III,4,password123,Administrative
Ethan Rodriguez,00135,Associate Professor B,5,password123,Academic
Isabella Parker,00106,Professor,2,password123,Academic
Noah Sullivan,00107,Full Professor,1,password123,Academic
Mia Bennett,00108,Assistant Professor,3,password123,Academic
Liam Murphy,00202,Senior Administrative Officer III,2,password123,Administrative
Olivia Harrison,00301,Senior Administrative Officer III,5,password123,Administrative
Ethan Turner,00302,Senior Administrative Officer II,3,password123,Administrative
Sophia Carter,00313,Senior Administrative Officer I,7,password123,Administrative
Michael Green,00394,Senior Executive Administrator,9,password123,Administrative
Noah Sullivan,00365,Executive Administrator,6,password123,Administrative
Isabella Bennett,00355,Senior Administrator,4,password123,Administrative
Ava Thompson,00101,Senior Administrator,9,password123,Administrative
Liam Johnson,00102,Administrator,1,password123,Administrative
Emma Clark,00201,EPS Portfolio Manager,1,password123,Education Procurement Services
Noah Davis,00202,EPS Category Manager,1,password123,Education Procurement Services
Sophia Miller,00203,EPS Category Specialist Higher,1,password123,Education Procurement Services
Lucas Brown,00204,EPS Category Specialist,1,password123,Education Procurement Services
Ella Martinez,00001,Sub Librarian,1,password123,Library
Ava Johnson,00101,Sub Librarian,2,password123,Library
Noah Smith,00102,Assistant Librarian II,1,password123,Library
Sophia Clark,00103,Assistant Librarian I,1,password123,Library
Liam Brown,00104,Senior Library Assistant,1,password123,Library
Emily Smith,00201,Library Assistant,1,password123,Library
Noah Johnson,00202,Library Attendant,1,password123,Library
Sophia Davis,00301,Analyst Programmer III,1,password123,Information Technology
Liam Brown,00302,Analyst Programmer II,1,password123,Information Technology
Ava Clark,00303,Analyst Programmer I,1,password123,Information Technology
Lucas Martinez,00304,Senior Computer Operator,1,password123,Information Technology
Mason Lee,00401,Senior Computer Operator,2,password123,Information Technology
Ella Walker,00402,Computer Operator,1,password123,Information Technology
Oliver Harris,00403,Print Operator II,1,password123,Information Technology
Amelia Adams,00404,Print Operator I,1,password123,Information Technology
Henry Garcia,00405,Computer Lab Attendant,1,password123,Information Technology
Isabella Moore,00406,Temporary Computer Assistant,1,password123,Information Technology
Ava Brown,00407,Temporary Computer Assistant,7,password123,Information Technology
Liam Johnson,00501,Chief Technical Officer,1,password123,Technical
Sophia Martinez,00502,Technical Officer,1,password123,Technical
Noah Clark,00503,Senior Technical Officer,11,password123,Technical
Emily Davis,00504,Senior Lab Attendant,1,password123,Technical
James Wilson,00505,Laboratory Attendant,1,password123,Technical
Olivia Thomas,00601,Sen Porter/Attendant,1,password123,Service Staff
William Anderson,00602,Porter/Attendant,1,password123,Service Staff
Isabella Morris,00603,Porter/Attendant,8,password123,Service Staff
Ethan Lewis,00604,Grounds Supervisor,5,password123,Service Staff
Charlotte Taylor,00605,Groundsworkperson,7,password123,Service Staff
Mason Hall,00606,Senior Aide,4,password123,Service Staff
Olivia Green,00607,Senior Aide,13,password123,Service Staff
Liam Clark,00608,Groundsworkperson Machine Attendant,6,password123,Service Staff
Sophia Martinez,00609,Service Staff Shift,9,password123,Service Staff
James Walker,00610,Plant Maintenance Aide,2,password123,Service Staff
Amelia Brown,00611,Grounds Foreperson,3,password123,Service Staff
Isabella Davis,00622,Grounds Foreperson,6,password123,Service Staff
Ethan Taylor,00131,Teaching Fellow,5,password123,Teachers
Mia Wilson,00102,University Teacher,7,password123,Teachers
Alexander Moore,00113,Associate Teacher,10,password123,Teachers
Charlotte White,00291,Therapies Regional Supervisors Regional Placement Facilitator,4,password123,Clinical
Benjamin Hall,00282,Clinical Tutor,3,password123,Clinical
Sophia Miller,00371,Clinical Tutor,6,password123,Clinical
Liam Harris,00362,Clinical Fellow,4,password123,Clinical
Olivia Clark,00151,Assistant Senior Instructor,1,password123,ULAC
Noah Walker,00152,Lead Instructor,1,password123,ULAC
Emma Turner,00143,Multi Activity Instructor (Grade I),2,password123,ULAC
James Martinez,00134,Multi Activity Instructor (Grade II),1,password123,ULAC
Ava Thompson,00125,Assistant Instructor,2,password123,ULAC
Lucas Anderson,00116,CO-OP STUDENTS,2,password123,ULAC
James Connolly,27383,ExamSupervisor,1,password1,null
Adam Urban,28496,ExamInvigilator,2,password123,null
Andrei Birsan,72584,GroundsStaff,1,password,null
Enda Buckley,73347,ITSupportStaff,4,password,null
Micheal Connor,03006,LabTutor,2,password012,null
John Skywalker,32030,LibraryAssistant,1,password555,null
Eric Cartman,70840,LabTutor,1,password784,null
