Employee,Name,ID,Category,Title
Full-Time,Adam Urban,1,Academic,Professor
Full-Time,James Martinez,134,ULAC,Multi Activity Instructor (Grade II)
Full-Time,Ethan Rodriguez,135,Academic,Associate Professor B
Full-Time,Olivia Harrison,201,Administrative,Senior Administrative Officer III
Full-Time,Sophia Miller,203,Education Procurement Services,EPS Category Specialist Higher
Full-Time,Emma Turner,143,ULAC,Multi Activity Instructor (Grade I)
Part-Time,Adam Urban,28496,,ExamInvigilator
Full-Time,Mason Lee,401,Information Technology,Senior Computer Operator
Full-Time,Ella Walker,402,Information Technology,Computer Operator
Full-Time,Oliver Harris,403,Information Technology,Print Operator II
Full-Time,Henry Garcia,405,Information Technology,Computer Lab Attendant
Full-Time,Isabella Moore,406,Information Technology,Temporary Computer Assistant
Full-Time,Benjamin Hall,282,Clinical,Clinical Tutor
Full-Time,William Anderson,602,Service Staff,Porter/Attendant
Full-Time,Isabella Morris,603,Service Staff,Porter/Attendant
Full-Time,Ethan Lewis,604,Service Staff,Grounds Supervisor
Full-Time,Mason Hall,606,Service Staff,Senior Aide
Full-Time,Sophia Martinez,609,Service Staff,Service Staff Shift
Full-Time,Amelia Brown,611,Service Staff,Grounds Foreperson
Full-Time,Mia Wilson,102,Teachers,University Teacher
Full-Time,Mia Bennett,108,Academic,Assistant Professor
Full-Time,Noah Sullivan,365,Administrative,Executive Administrator
Full-Time,Sophie Martinez,173,Academic,Teaching Assistant
Full-Time,Liam Brown,302,Information Technology,Analyst Programmer II
Full-Time,Isabella Davis,622,Service Staff,Grounds Foreperson
Part-Time,James Connolly,27383,,ExamSupervisor
Full-Time,James Wilson,505,Technical,Laboratory Attendant
Full-Time,Ava Thompson,125,ULAC,Assistant Instructor
Part-Time,Micheal Connor,3006,,LabTutor
